selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
tournament 5,95,3,100,50,rosenbrock,3,0.007559,0.049938,0.058005,0.080201,1.220435
tournament 5,40,2,100,50,rosenbrock,3,0.012661,0.128027,0.173955,0.132717,1.145355
tournament 5,100,1,100,50,rosenbrock,3,0.003662,0.022838,0.020512,0.037881,1.163705
tournament 5,45,2,100,50,rosenbrock,3,0.007568,0.093077,0.111370,0.102129,0.948990
tournament 5,45,1,100,50,rosenbrock,3,0.008870,0.044734,0.056123,0.035411,1.094260
tournament 5,60,1,100,50,rosenbrock,3,0.002314,0.033477,0.042910,0.047991,0.882500
tournament 5,55,3,100,50,rosenbrock,3,0.026512,0.086268,0.089118,0.088799,0.945805
tournament 5,50,1,100,50,rosenbrock,3,0.001293,0.029654,0.036987,0.040301,1.081895
tournament 5,50,3,100,50,rosenbrock,3,0.008559,0.071952,0.078515,0.089587,1.031335
tournament 5,55,1,100,50,rosenbrock,3,0.002481,0.025431,0.036437,0.030962,1.077675
tournament 5,45,3,100,50,rosenbrock,3,0.021835,0.075805,0.100287,0.084464,1.512280
tournament 5,50,2,100,50,rosenbrock,3,0.016739,0.116120,0.145037,0.121898,1.157365
tournament 5,55,2,100,50,rosenbrock,3,0.012595,0.093563,0.102678,0.123381,1.172090
tournament 5,60,3,100,50,rosenbrock,3,0.016681,0.060152,0.067364,0.081810,0.976850
tournament 3,155,1,100,50,rosenbrock,3,0.004076,0.031602,0.041322,0.029732,0.813890
tournament 5,5,2,100,50,rosenbrock,3,0.079646,0.766894,0.945085,0.688959,0.998775
tournament 5,60,2,100,50,rosenbrock,3,0.018353,0.078723,0.091141,0.085385,1.156895
tournament 5,135,2,100,50,rosenbrock,3,0.004720,0.053277,0.042735,0.078538,0.926340
tournament 5,5,1,100,50,rosenbrock,3,0.074873,0.321459,0.349290,0.389240,1.250745
